City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yenagoa,NG,4.92,6.26,74.84,90,99,4.05,overcast clouds
1,Oktyabrskoye,RU,43.06,44.74,53.6,93,8,4.47,clear sky
2,Gat,IL,31.61,34.76,73.0,27,0,1.99,clear sky
3,Saint-Philippe,RE,-21.36,55.77,68.0,60,45,8.05,scattered clouds
4,Ornskoldsvik,SE,63.29,18.72,41.0,86,1,5.82,clear sky
5,Harper,LR,4.38,-7.72,74.97,86,98,8.05,overcast clouds
6,Kapaa,US,22.08,-159.32,84.2,66,20,12.75,few clouds
7,Marawi,PH,8.0,124.29,87.01,67,67,4.0,light rain
8,Vanimo,PG,-2.67,141.3,84.88,72,49,7.29,light rain
9,Hobart,AU,-42.88,147.33,61.0,38,40,23.04,light rain
10,Lolodorf,CM,3.23,10.73,69.42,97,100,1.61,overcast clouds
11,Penzance,GB,50.12,-5.54,57.2,93,22,11.41,light rain
12,Turukhansk,RU,65.82,87.98,61.27,65,0,7.2,clear sky
13,Ixtapa,MX,20.7,-105.2,80.6,88,90,6.93,moderate rain
14,Isangel,VU,-19.55,169.27,80.6,65,75,11.41,shower rain
15,Bredasdorp,ZA,-34.53,20.04,50.0,93,5,8.05,clear sky
16,Palmer,US,42.16,-72.33,63.0,100,40,3.36,scattered clouds
17,Bethel,US,41.37,-73.41,69.8,94,40,4.7,light rain
18,Solnechnyy,RU,50.72,136.63,59.23,78,100,9.62,overcast clouds
19,Longyearbyen,SJ,78.22,15.64,37.4,69,75,16.11,shower rain
20,Cape Town,ZA,-33.93,18.42,55.99,81,75,9.17,broken clouds
21,Jalu,LY,29.03,21.55,72.57,72,0,5.73,clear sky
22,Vaini,TO,-21.2,-175.2,80.6,69,40,8.05,scattered clouds
23,Salalah,OM,17.02,54.09,75.2,100,90,4.7,heavy intensity drizzle
24,New Norfolk,AU,-42.78,147.06,61.0,62,0,8.99,clear sky
25,Qaqortoq,GL,60.72,-46.03,46.4,81,100,4.7,overcast clouds
26,Port Hardy,CA,50.7,-127.42,62.6,72,75,2.24,broken clouds
27,Hobyo,SO,5.35,48.53,75.99,81,100,20.71,overcast clouds
28,Flinders,AU,-34.58,150.86,64.99,21,0,13.87,clear sky
29,Hermanus,ZA,-34.42,19.23,52.0,78,1,3.0,clear sky
30,Markala,ML,13.7,-6.07,76.35,86,100,10.33,overcast clouds
31,Svetlaya,RU,46.54,138.33,64.54,94,100,7.52,moderate rain
32,East London,ZA,-33.02,27.91,60.58,63,0,17.25,clear sky
33,Rikitea,PF,-23.12,-134.97,68.5,63,0,4.68,clear sky
34,Ambilobe,MG,-13.2,49.05,63.14,86,72,3.98,broken clouds
35,Talnakh,RU,69.49,88.4,55.4,76,56,2.24,broken clouds
36,Klaksvik,FO,62.23,-6.59,48.2,81,10,9.17,clear sky
37,Faanui,PF,-16.48,-151.75,77.86,77,0,15.5,clear sky
38,Vestmanna,FO,62.16,-7.17,48.2,81,5,9.17,clear sky
39,Caravelas,BR,-17.71,-39.25,70.81,89,0,7.07,light rain
40,Jamestown,US,42.1,-79.24,66.99,93,1,9.17,clear sky
41,Port Alfred,ZA,-33.59,26.89,57.51,75,0,16.15,clear sky
42,Hilo,US,19.73,-155.09,84.2,54,1,12.75,clear sky
43,Diego De Almagro,CL,-26.37,-70.05,45.25,65,0,2.55,clear sky
44,Aykhal,RU,66.0,111.5,57.2,35,40,6.71,smoke
45,Lavrentiya,RU,65.58,-171.0,50.99,72,100,4.76,overcast clouds
46,Petatlan,MX,17.52,-101.27,77.13,79,100,2.91,overcast clouds
47,Udachnyy,RU,66.42,112.4,57.2,35,40,6.71,smoke
48,Labuhan,ID,-6.88,112.21,85.77,54,37,6.82,scattered clouds
49,Butaritari,KI,3.07,172.79,82.92,69,100,10.76,overcast clouds
50,Huanren,CN,41.26,125.37,77.11,85,86,7.27,light rain
51,Busselton,AU,-33.65,115.33,70.0,48,0,6.31,clear sky
52,Fortuna,US,40.6,-124.16,57.99,87,1,6.93,clear sky
53,Manta,EC,-0.95,-80.73,71.6,88,52,8.05,broken clouds
54,Punta Arenas,CL,-53.15,-70.92,28.4,86,24,27.51,few clouds
55,Souillac,MU,-20.52,57.52,68.0,94,75,6.93,shower rain
56,Tungor,RU,53.38,142.96,55.54,84,97,9.4,overcast clouds
57,Pangnirtung,CA,66.15,-65.71,44.62,72,66,1.12,broken clouds
58,Avera,US,33.19,-82.53,80.6,66,1,5.21,clear sky
59,Mataura,NZ,-46.19,168.86,54.27,61,100,7.78,overcast clouds
60,Berlevag,NO,70.86,29.09,44.53,70,65,23.62,broken clouds
61,Kodiak,US,57.79,-152.41,53.6,81,90,4.7,moderate rain
62,Mount Hagen,PG,-5.86,144.23,72.39,70,12,3.33,light rain
63,Deputatskiy,RU,69.3,139.9,45.54,57,17,7.23,few clouds
64,Albany,US,42.6,-73.97,62.01,91,70,3.47,broken clouds
65,Tuatapere,NZ,-46.13,167.68,52.57,72,97,9.82,overcast clouds
66,Yerbogachen,RU,61.28,108.01,61.97,45,82,4.7,broken clouds
67,Jacareacanga,BR,-6.22,-57.75,79.34,65,90,1.77,overcast clouds
68,Barrow,US,71.29,-156.79,39.2,89,90,19.46,overcast clouds
69,Ahipara,NZ,-35.17,173.17,58.37,60,14,8.08,few clouds
70,Mar Del Plata,AR,-38.0,-57.56,54.0,76,7,2.24,clear sky
71,San Cristobal,VE,7.77,-72.22,65.5,88,40,2.28,scattered clouds
72,Portlethen,GB,57.05,-2.13,48.0,93,100,5.82,overcast clouds
73,Buraydah,SA,26.33,43.98,78.8,31,0,4.7,clear sky
74,Ponta Do Sol,PT,32.67,-17.1,75.99,60,20,25.28,few clouds
75,Hofn,IS,64.25,-15.21,48.58,65,0,3.94,clear sky
76,Ushuaia,AR,-54.8,-68.3,33.8,80,40,4.7,scattered clouds
77,Mount Isa,AU,-20.73,139.5,80.6,13,0,14.99,clear sky
78,Lompoc,US,34.64,-120.46,60.8,82,75,10.29,broken clouds
79,Upernavik,GL,72.79,-56.15,41.47,73,0,2.57,clear sky
80,Sterling,US,39.01,-77.43,84.2,58,1,9.17,clear sky
81,Kitimat,CA,54.05,-128.65,61.0,81,74,3.38,broken clouds
82,Dogondoutchi,NE,13.64,4.03,78.73,78,0,11.3,clear sky
83,Tezu,IN,27.92,96.17,76.6,87,97,2.82,light rain
84,Khatanga,RU,71.97,102.5,67.1,50,0,7.34,clear sky
85,Mayo,US,38.89,-76.51,86.0,58,1,5.82,clear sky
86,Saldanha,ZA,-33.01,17.94,50.0,81,8,4.7,clear sky
87,Savannah Bight,HN,16.45,-85.85,85.35,81,81,25.72,broken clouds
88,Yellowknife,CA,62.46,-114.35,57.2,71,75,9.17,broken clouds
89,Dikson,RU,73.51,80.55,48.06,80,28,8.97,scattered clouds
90,Puerto Ayora,EC,-0.74,-90.35,65.3,85,75,9.08,broken clouds
91,Ribeira Grande,PT,38.52,-28.7,74.3,89,63,12.28,light rain
92,Puerto Escondido,MX,15.85,-97.07,81.03,79,100,12.55,light rain
93,Margate,GB,51.38,1.39,59.0,89,68,1.99,broken clouds
94,Hithadhoo,MV,-0.6,73.08,81.9,61,100,13.47,overcast clouds
95,Bocas Del Toro,PA,9.33,-82.25,64.0,100,92,4.07,overcast clouds
96,Inuvik,CA,68.35,-133.72,51.8,50,20,8.05,few clouds
